Byte-Range,4-4,4-8,4-16,4-32
RegEff-CFM - mean,,,,
RegEff-CFM - std_dev,,,,
RegEff-CFM - min,,,,
RegEff-CFM - max,,,,
RegEff-CFM - median,,,,
Ouroboros-P-S - mean,0.0224058,0.0244666,0.0259014,0.0825491
Ouroboros-P-S - std_dev,0.11935,0.121172,0.133996,0.514757
Ouroboros-P-S - min,0.004576,0.004608,0.00496,0.004992
Ouroboros-P-S - max,0.857824,0.872544,0.963776,3.6833
Ouroboros-P-S - median,0.00528,0.005344,0.0056,0.005696
Ouroboros-C-S - mean,0.080464,0.0797005,0.0714752,0.0733037
Ouroboros-C-S - std_dev,0.0950049,0.086855,0.0879239,0.0899037
Ouroboros-C-S - min,0.058304,0.058496,0.052096,0.0544
Ouroboros-C-S - max,0.744672,0.686944,0.686592,0.702336
Ouroboros-C-S - median,0.066656,0.06704,0.059008,0.061088
RegEff-AW - mean,0.0042848,0.00578624,0.00459392,0.00595264
RegEff-AW - std_dev,0.00113623,0.00229007,0.00155301,0.00259855
RegEff-AW - min,0.003008,0.004064,0.004064,0.003424
RegEff-AW - max,0.00976,0.01008,0.009568,0.010816
RegEff-AW - median,0.004096,0.004096,0.004064,0.004096
Ouroboros-C-VA - mean,0.0845421,0.0864678,0.0787821,0.0780288
Ouroboros-C-VA - std_dev,0.0781784,0.0835144,0.0927672,0.0855684
Ouroboros-C-VA - min,0.063968,0.066048,0.060032,0.06096
Ouroboros-C-VA - max,0.630976,0.670272,0.72784,0.6768
Ouroboros-C-VA - median,0.073152,0.074976,0.065344,0.065344
Ouroboros-P-VA - mean,0.0930157,0.033488,0.033696,0.281725
Ouroboros-P-VA - std_dev,0.58614,0.176964,0.174134,1.85998
Ouroboros-P-VA - min,0.007232,0.006688,0.007392,0.007872
Ouroboros-P-VA - max,4.1959,1.27222,1.25261,13.2986
Ouroboros-P-VA - median,0.00848,0.00816,0.008672,0.008864
Halloc - mean,,,,
Halloc - std_dev,,,,
Halloc - min,,,,
Halloc - max,,,,
Halloc - median,,,,
RegEff-CM - mean,0.300577,0.256867,0.277394,0.279213
RegEff-CM - std_dev,0.0138199,0.0208053,0.0212207,0.0215676
RegEff-CM - min,0.28416,0.215552,0.245024,0.247168
RegEff-CM - max,0.359264,0.357152,0.356736,0.354944
RegEff-CM - median,0.298432,0.253472,0.277056,0.273472
Ouroboros-P-VL - mean,0.0309139,0.0302624,0.030752,0.0334746
Ouroboros-P-VL - std_dev,0.1308,0.1272,0.115433,0.11546
Ouroboros-P-VL - min,0.009984,0.010272,0.011648,0.011552
Ouroboros-P-VL - max,0.946464,0.920608,0.838688,0.839264
Ouroboros-P-VL - median,0.01168,0.011712,0.014016,0.016288
ScatterAlloc - mean,0.0082336,0.0055616,0.00620288,0.00566272
ScatterAlloc - std_dev,0.0042103,0.00107687,0.00106616,0.000529963
ScatterAlloc - min,0.004416,0.00448,0.005408,0.005152
ScatterAlloc - max,0.02928,0.012704,0.01184,0.008096
ScatterAlloc - median,0.006944,0.005568,0.005888,0.005408
Ouroboros-C-VL - mean,0.0862816,0.0855328,0.122465,0.0764205
Ouroboros-C-VL - std_dev,0.0910877,0.0809729,0.397728,0.0855582
Ouroboros-C-VL - min,0.063712,0.065696,0.058816,0.060736
Ouroboros-C-VL - max,0.723232,0.651552,2.9065,0.6752
Ouroboros-C-VL - median,0.073536,0.073344,0.065472,0.064192
RegEff-CF - mean,6.39674,6.31999,7.70296,7.47786
RegEff-CF - std_dev,0.538898,0.47396,1.38446,1.2494
RegEff-CF - min,4.50659,4.78349,4.65731,4.38304
RegEff-CF - max,7.30464,7.5368,11.185,9.93462
RegEff-CF - median,6.47798,6.33472,7.48112,7.4432
CUDA - mean,1.1562,1.14581,1.17001,1.15059
CUDA - std_dev,0.591781,0.590014,0.583403,0.580328
CUDA - min,0.917664,0.907712,0.930848,0.90272
CUDA - max,5.25264,5.23667,5.18938,5.17859
CUDA - median,1.07165,1.08477,1.0984,1.0815
XMalloc - mean,,,,
XMalloc - std_dev,,,,
XMalloc - min,,,,
XMalloc - max,,,,
XMalloc - median,,,,
RegEff-C - mean,7.67525,4.72945,,
RegEff-C - std_dev,0.792721,0.813262,,
RegEff-C - min,5.30531,3.3305,,
RegEff-C - max,8.84109,6.5737,,
RegEff-C - median,7.90358,4.48755,,
